session_id,honeypot,timestamp,src_ip,country,protocol,login_attempts,login_success,command_count,session_duration_s,connection_count,unique_ports,has_wget_curl,has_reverse_shell,has_recon_commands,has_file_download,has_shellcode,rotulo_revisor1,rotulo_revisor2,inconclusivo,observacao
e0e90f2a3216,cowrie,2026-09-06T07:20:03.883290Z,213.109.159.104,United States,,0,0,0,120.004,0,0,0,0,0,0,0,,,,
c1d22e2270f2,cowrie,2026-09-06T07:20:38.699214Z,213.109.159.104,United States,,0,0,0,33.4,0,0,0,0,0,0,0,,,,
8ceb0d975417,cowrie,2026-09-06T07:20:53.558371Z,213.109.159.104,United States,,0,0,0,120.007,0,0,0,0,0,0,0,,,,
2b79b3177795,cowrie,2026-09-06T07:23:11.031814Z,213.109.159.104,United States,,0,0,0,34.77,0,0,0,0,0,0,0,,,,
f79996574e26,cowrie,2026-09-06T07:24:25.737989Z,213.109.159.104,United States,,0,0,0,42.385,0,0,0,0,0,0,0,,,,
5966f064983e,cowrie,2026-09-06T07:26:32.452531Z,213.109.159.104,United States,,0,0,0,31.984,0,0,0,0,0,0,0,,,,
f994b1054868,cowrie,2026-09-06T07:30:22.459259Z,213.109.159.104,United States,,0,0,0,32.633,0,0,0,0,0,0,0,,,,
1c2f232454b0,cowrie,2026-09-06T07:50:24.305583Z,78.38.18.127,Iran,,1,0,0,0.932,0,0,0,0,0,0,0,,,,
4cb8fa3935a7,cowrie,2026-09-06T13:49:34.985562Z,59.103.119.15,Pakistan,,1,0,0,1.104,0,0,0,0,0,0,0,,,,
9d987b5bd4f2,cowrie,2026-09-06T14:33:59.570763Z,153.117.13.255,Pakistan,,0,1,9,14.43,0,0,0,0,0,0,0,,,,
d55f125a98ea,cowrie,2026-09-06T14:34:15.688518Z,153.117.13.255,Pakistan,,1,0,0,1.549,0,0,0,0,0,0,0,,,,
129b6668f7e8,cowrie,2026-09-06T16:56:19.446271Z,153.117.28.46,Pakistan,,1,0,0,1.215,0,0,0,0,0,0,0,,,,
008074206bdf,cowrie,2026-09-06T16:56:27.957094Z,153.117.28.46,Pakistan,,1,0,0,1.133,0,0,0,0,0,0,0,,,,
cab230e64c72,cowrie,2026-09-06T16:56:36.234524Z,153.117.28.46,Pakistan,,1,0,0,1.133,0,0,0,0,0,0,0,,,,
aa887fefb573,cowrie,2026-09-06T18:32:16.153248Z,153.239.192.5,Japan,,0,0,0,12.102,0,0,0,0,0,0,0,,,,
04c284bf18cb,cowrie,2026-09-06T18:53:49.539509Z,62.182.143.197,Russia,,0,0,0,120.056,0,0,0,0,0,0,0,,,,
e5284373b2d4,cowrie,2026-09-06T20:22:34.418565Z,37.230.247.230,Russia,,0,0,0,0.001,0,0,0,0,0,0,0,,,,
f51a92104de9,cowrie,2026-09-07T02:09:48.502262Z,27.21.27.184,China,,0,0,0,11.167,0,0,0,0,0,0,0,,,,
16ec1e5d0421,cowrie,2026-09-07T03:43:44.100503Z,36.83.84.149,Indonesia,,1,0,0,3.325,0,0,0,0,0,0,0,,,,
f3a8f44932d3,cowrie,2026-09-07T03:45:34.261428Z,36.83.84.149,Indonesia,,1,0,0,5.432,0,0,0,0,0,0,0,,,,
d1b7ae7bbf54,cowrie,2026-09-07T04:52:26.771047Z,139.135.45.10,Pakistan,,1,0,0,1.19,0,0,0,0,0,0,0,,,,
9982d3b07e37,cowrie,2026-09-07T04:52:35.111609Z,139.135.45.10,Pakistan,,1,0,0,1.139,0,0,0,0,0,0,0,,,,
42fbe50f863b,cowrie,2026-09-07T05:17:02.717737Z,201.221.108.59,Argentina,,0,0,0,11.284,0,0,0,0,0,0,0,,,,
b350f105c51a,cowrie,2026-09-07T05:49:09.200182Z,42.224.64.165,China,,0,1,9,14.427,0,0,0,0,0,0,0,,,,
47be4b0e56f6,cowrie,2026-09-07T05:49:30.295244Z,42.224.64.165,China,,0,1,9,14.327,0,0,0,0,0,0,0,,,,
580939b9a6ff,cowrie,2026-09-07T05:49:53.662124Z,42.224.64.165,China,,1,0,0,2.3,0,0,0,0,0,0,0,,,,
407ec3405d83,cowrie,2026-09-07T05:50:13.614771Z,42.224.64.165,China,,1,0,0,1.26,0,0,0,0,0,0,0,,,,
df2956ff56d2,cowrie,2026-09-07T07:37:53.199374Z,143.198.208.150,Singapore,,0,0,0,120.078,0,0,0,0,0,0,0,,,,
8d102a2d65d2,cowrie,2026-09-07T09:49:59.109485Z,220.150.112.201,Japan,,0,1,9,13.53,0,0,0,0,0,0,0,,,,
9a8f384d6736,cowrie,2026-09-07T10:55:39.259923Z,51.15.25.116,The Netherlands,,0,0,0,6.901,0,0,0,0,0,0,0,,,,
67bdac4152ce,cowrie,2026-09-07T10:57:45.408961Z,51.15.25.116,The Netherlands,,1,0,0,37.264,0,0,0,0,0,0,0,,,,
906dbe83d2f6,cowrie,2026-09-07T11:03:02.273389Z,51.15.25.116,The Netherlands,,0,0,0,120.037,0,0,0,0,0,0,0,,,,
168b0ea1d730,cowrie,2026-09-07T11:04:16.996073Z,223.97.30.102,China,,0,0,0,11.638,0,0,0,0,0,0,0,,,,
3006a7b3fe69,cowrie,2026-09-07T12:11:52.499198Z,51.15.25.116,The Netherlands,,1,0,0,40.557,0,0,0,0,0,0,0,,,,
fdf63dd515fe,cowrie,2026-09-07T12:12:26.629743Z,190.120.253.175,Venezuela,,0,0,0,0.001,0,0,0,0,0,0,0,,,,
11e3aa1e8106,cowrie,2026-09-07T12:15:10.639082Z,190.120.253.175,Venezuela,,0,0,0,0.001,0,0,0,0,0,0,0,,,,
1481c5ec36fe,cowrie,2026-09-07T13:07:49.696162Z,117.72.212.144,China,,0,0,0,120.067,0,0,0,0,0,0,0,,,,
cdedaddb2d72,cowrie,2026-09-07T14:10:10.812791Z,45.82.78.108,Singapore,,0,0,0,0.212,0,0,0,0,0,0,0,,,,
bbcc4c34a09b,cowrie,2026-09-07T14:52:52.326015Z,202.70.139.185,Pakistan,,1,0,0,1.182,0,0,0,0,0,0,0,,,,
92695fc1a0ae,cowrie,2026-09-07T17:13:08.350048Z,51.15.25.116,The Netherlands,,1,0,0,42.18,0,0,0,0,0,0,0,,,,
afc0ebb3c3b0,cowrie,2026-09-07T18:32:18.294482Z,51.15.25.116,The Netherlands,,0,0,0,7.117,0,0,0,0,0,0,0,,,,
cbb6cf7c2276,cowrie,2026-09-07T21:31:10.280124Z,179.36.110.80,Argentina,,0,0,0,0.003,0,0,0,0,0,0,0,,,,
ba7bdbd72d79,cowrie,2026-09-07T23:35:45.647376Z,153.117.34.151,Pakistan,,1,0,0,1.146,0,0,0,0,0,0,0,,,,
6a2d55acc165,cowrie,2026-09-08T01:55:59.231629Z,51.8.83.28,United States,,0,0,0,0.001,0,0,0,0,0,0,0,,,,
1f428fa990e4,cowrie,2026-09-08T01:56:58.275492Z,144.172.249.183,Canada,,0,0,0,0.007,0,0,0,0,0,0,0,,,,
bbbebdbee3d3,cowrie,2026-09-08T02:33:22.498234Z,34.52.146.162,Belgium,,0,0,0,8.911,0,0,0,0,0,0,0,,,,
c63a0d8364c2,cowrie,2026-09-08T02:33:22.680320Z,34.52.146.162,Belgium,,0,0,0,8.729,0,0,0,0,0,0,0,,,,
9452847278be,cowrie,2026-09-08T04:21:46.684612Z,103.66.148.82,Pakistan,,1,0,0,1.378,0,0,0,0,0,0,0,,,,
016d849aca65,cowrie,2026-09-08T13:24:05.422237Z,139.135.40.213,Pakistan,,1,0,0,1.132,0,0,0,0,0,0,0,,,,
8adcbea56ceb,cowrie,2026-09-08T15:21:07.183265Z,72.255.19.34,Pakistan,,1,0,0,1.185,0,0,0,0,0,0,0,,,,
fd2217116bae,cowrie,2026-09-08T15:21:12.715206Z,72.255.19.34,Pakistan,,1,0,0,1.132,0,0,0,0,0,0,0,,,,
cc082c10c284,cowrie,2026-09-08T15:21:24.120962Z,72.255.19.34,Pakistan,,1,0,0,1.132,0,0,0,0,0,0,0,,,,
8ea84afe9ab7,cowrie,2026-09-08T16:27:58.001568Z,3.16.146.5,United States,,0,0,0,1.371,0,0,0,0,0,0,0,,,,
4afb2c3504e8,cowrie,2026-09-08T16:43:57.142913Z,31.23.168.125,Russia,,0,0,0,12.716,0,0,0,0,0,0,0,,,,
dcd5f4929737,cowrie,2026-09-08T19:05:12.440609Z,108.166.143.146,United States,,0,0,0,0.001,0,0,0,0,0,0,0,,,,
65f81cb6fd7f,cowrie,2026-09-08T19:06:03.022271Z,102.152.196.106,Tunisia,,0,0,0,0.012,0,0,0,0,0,0,0,,,,
f6f30bc2d12a,cowrie,2026-09-08T19:39:30.214287Z,201.239.195.231,Chile,,0,0,0,0.001,0,0,0,0,0,0,0,,,,
c57131888ff0,cowrie,2026-09-08T21:05:22.021874Z,175.107.0.77,Pakistan,,1,0,0,1.638,0,0,0,0,0,0,0,,,,
dda41fd9b4d6,cowrie,2026-09-09T00:08:41.875814Z,72.255.19.212,Pakistan,,1,0,0,1.204,0,0,0,0,0,0,0,,,,
d260153c0d11,cowrie,2026-09-09T00:09:03.122561Z,72.255.19.212,Pakistan,,1,0,0,1.136,0,0,0,0,0,0,0,,,,
a0d3d446135f,cowrie,2026-09-09T00:20:58.835016Z,94.243.8.178,Russia,,1,0,0,1.257,0,0,0,0,0,0,0,,,,
